group,id,course,module,grade
1,22,Animal Lore and Totemism,1,14.75
1,22,Animal Lore and Totemism,1,13
1,22,Animal Lore and Totemism,1,14.75
1,22,Animal Lore and Totemism,1,17
1,22,Animal Lore and Totemism,1,10
1,22,Animal Lore and Totemism,1,17.25
1,22,Animal Lore and Totemism,1,15
1,22,Astronomy and Celestial Navigation,3,12
1,22,Astronomy and Celestial Navigation,3,15
1,22,Drumming and Music,2,12
1,22,Drumming and Music,2,8.5
1,22,Drumming and Music,2,11
1,22,Drumming and Music,2,14
1,22,Drumming and Music,2,9.5
1,22,Drumming and Music,2,12.5
1,22,Drumming and Music,2,12.5
1,22,Earth Magic and Fertility Rituals,1,9.5
1,22,Earth Magic and Fertility Rituals,1,8.5
1,22,Earth Magic and Fertility Rituals,1,11
1,22,Earth Magic and Fertility Rituals,1,9
1,22,Earth Magic and Fertility Rituals,1,7
1,22,Earth Magic and Fertility Rituals,1,14
1,22,Earth Magic and Fertility Rituals,1,9
1,22,Earth Magic and Fertility Rituals,1,10
1,22,Earth Magic and Fertility Rituals,1,13
1,22,Herbalism and Traditional Medicine,3,13.5
1,22,Herbalism and Traditional Medicine,3,11.5
1,22,Herbalism and Traditional Medicine,3,13
1,22,Herbalism and Traditional Medicine,3,16
1,22,Hunting and Gathering Skills,2,8
1,22,Hunting and Gathering Skills,2,8
1,22,Hunting and Gathering Skills,2,6
1,22,Hunting and Gathering Skills,2,11
1,22,Hunting and Gathering Skills,2,8
1,22,Martial Arts and Self-Defense,1,9
1,22,Martial Arts and Self-Defense,1,8.5
1,22,Martial Arts and Self-Defense,1,9.5
1,22,Martial Arts and Self-Defense,1,8.5
1,22,Martial Arts and Self-Defense,1,8.5
1,22,Martial Arts and Self-Defense,1,8.5
1,22,Martial Arts and Self-Defense,1,9
1,22,Martial Arts and Self-Defense,1,8
1,22,Shamanism and Spirit Communication,3,12
1,22,Shamanism and Spirit Communication,3,12
1,22,Shamanism and Spirit Communication,3,13.5
1,22,Storytelling and Oral Tradition,3,10.3
1,22,Storytelling and Oral Tradition,3,11.5
1,22,Storytelling and Oral Tradition,3,12.7
1,22,Storytelling and Oral Tradition,3,14.5
1,22,Storytelling and Oral Tradition,3,10.3
1,22,Storytelling and Oral Tradition,3,10.1
1,22,Storytelling and Oral Tradition,3,14.1
1,22,Storytelling and Oral Tradition,3,13
1,22,Storytelling and Oral Tradition,3,11.5
1,22,Tribal Law and Customs,1,8.3
1,22,Tribal Law and Customs,1,7.7
1,22,Tribal Law and Customs,1,5.5
1,22,Tribal Law and Customs,1,5.7
1,22,Tribal Law and Customs,1,7.3
1,22,Tribal Law and Customs,1,7.9
1,79,Animal Lore and Totemism,1,12.25
1,79,Animal Lore and Totemism,1,12.5
1,79,Animal Lore and Totemism,1,10.25
1,79,Animal Lore and Totemism,1,9
1,79,Animal Lore and Totemism,1,12.25
1,79,Animal Lore and Totemism,1,14.5
1,79,Animal Lore and Totemism,1,14
1,79,Astronomy and Celestial Navigation,3,12.5
1,79,Astronomy and Celestial Navigation,3,13.5
1,79,Astronomy and Celestial Navigation,3,12.5
1,79,Drumming and Music,2,14
1,79,Drumming and Music,2,16
1,79,Drumming and Music,2,12.5
1,79,Drumming and Music,2,15
1,79,Drumming and Music,2,15
1,79,Drumming and Music,2,16.5
1,79,Drumming and Music,2,15.5
1,79,Earth Magic and Fertility Rituals,1,8
1,79,Earth Magic and Fertility Rituals,1,11
1,79,Earth Magic and Fertility Rituals,1,9.5
1,79,Earth Magic and Fertility Rituals,1,13
1,79,Earth Magic and Fertility Rituals,1,12
1,79,Earth Magic and Fertility Rituals,1,11
1,79,Earth Magic and Fertility Rituals,1,11.5
1,79,Earth Magic and Fertility Rituals,1,11.5
1,79,Earth Magic and Fertility Rituals,1,11
1,79,Herbalism and Traditional Medicine,3,12
1,79,Herbalism and Traditional Medicine,3,9.5
1,79,Herbalism and Traditional Medicine,3,15.5
1,79,Herbalism and Traditional Medicine,3,9.5
1,79,Hunting and Gathering Skills,2,15
1,79,Hunting and Gathering Skills,2,6
1,79,Hunting and Gathering Skills,2,8
1,79,Hunting and Gathering Skills,2,13
1,79,Hunting and Gathering Skills,2,0
1,79,Hunting and Gathering Skills,2,16
1,79,Martial Arts and Self-Defense,1,11
1,79,Martial Arts and Self-Defense,1,9.5
1,79,Martial Arts and Self-Defense,1,8.5
1,79,Martial Arts and Self-Defense,1,8.5
1,79,Martial Arts and Self-Defense,1,10
1,79,Martial Arts and Self-Defense,1,6
1,79,Martial Arts and Self-Defense,1,8
1,79,Shamanism and Spirit Communication,3,12.5
1,79,Shamanism and Spirit Communication,3,12.5
1,79,Storytelling and Oral Tradition,3,11.6
1,79,Storytelling and Oral Tradition,3,13.1
1,79,Storytelling and Oral Tradition,3,9
